epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0959,1.43616,3.47646,1.26321,0.36723,0.1799,0.23004,0.15373,1.17078,3.07483,1.06186,0.000367141,0.000367141,0.000367141
2,35.1514,1.29751,2.39277,1.15713,0.42761,0.53783,0.45457,0.31107,1.08601,2.0834,1.05294,0.000722872,0.000722872,0.000722872
3,53.1489,1.2704,2.12481,1.13817,0.48032,0.53312,0.46915,0.32564,1.0909,2.02844,1.05446,0.00106394,0.00106394,0.00106394
4,71.0689,1.25639,2.02701,1.14619,0.44286,0.60038,0.51837,0.34965,1.05483,1.81477,1.06097,0.00104501,0.00104501,0.00104501
5,89.5966,1.20155,1.84299,1.11544,0.50921,0.58293,0.55193,0.38957,0.99983,1.66624,1.02582,0.00102301,0.00102301,0.00102301
6,107.067,1.21458,1.8074,1.1201,0.55463,0.62022,0.57483,0.40073,0.98066,1.57989,1.00654,0.00100101,0.00100101,0.00100101
7,125.702,1.17207,1.71287,1.10377,0.49721,0.68067,0.60053,0.42806,0.9844,1.81308,1.02306,0.000979013,0.000979013,0.000979013
8,144.644,1.17407,1.62449,1.10566,0.51281,0.64658,0.59055,0.4085,1.03798,1.59367,1.03168,0.000957015,0.000957015,0.000957015
9,164.164,1.12932,1.55814,1.08318,0.54223,0.67028,0.63394,0.46262,0.93343,1.53746,0.99385,0.000935018,0.000935018,0.000935018
10,177.49,1.15329,1.54504,1.09077,0.60605,0.67919,0.67937,0.49723,0.92841,1.2906,0.98143,0.00091302,0.00091302,0.00091302
11,190.88,1.10241,1.48304,1.06728,0.61175,0.6858,0.66209,0.48235,0.92699,1.3704,0.99349,0.000891022,0.000891022,0.000891022
12,203.872,1.10205,1.49066,1.07023,0.55682,0.71588,0.67528,0.4894,0.9449,1.33788,0.99586,0.000869024,0.000869024,0.000869024
13,217.264,1.10836,1.40157,1.06926,0.59752,0.70967,0.6839,0.50763,0.9041,1.31899,0.97772,0.000847026,0.000847026,0.000847026
14,234.868,1.10266,1.42943,1.05789,0.61587,0.71758,0.69889,0.51919,0.88967,1.17611,0.96666,0.000825029,0.000825029,0.000825029
15,261.179,1.08375,1.37131,1.05507,0.64802,0.71962,0.72525,0.53981,0.884,1.24301,0.9706,0.000803031,0.000803031,0.000803031
16,285.948,1.09314,1.36529,1.05435,0.63408,0.67775,0.70132,0.53465,0.86487,1.18611,0.95564,0.000781033,0.000781033,0.000781033
17,307.717,1.04772,1.31292,1.03049,0.61406,0.75221,0.73123,0.55055,0.86092,1.15134,0.95193,0.000759035,0.000759035,0.000759035
18,329.214,1.03072,1.31883,1.03082,0.63926,0.71772,0.72628,0.54745,0.8834,1.18772,0.95974,0.000737037,0.000737037,0.000737037
19,350.408,1.0542,1.28026,1.02669,0.64772,0.7108,0.72985,0.55325,0.8603,1.10802,0.95786,0.00071504,0.00071504,0.00071504
20,372.392,1.03884,1.28439,1.03493,0.62771,0.75387,0.731,0.55398,0.84929,1.08268,0.95545,0.000693042,0.000693042,0.000693042
21,393.814,1.00281,1.24028,1.01912,0.64314,0.74393,0.74987,0.57387,0.8439,1.04907,0.94721,0.000671044,0.000671044,0.000671044
22,412.42,1.04427,1.24983,1.03949,0.6614,0.73186,0.75076,0.56846,0.85011,1.05799,0.95426,0.000649046,0.000649046,0.000649046
23,436.851,1.00866,1.21102,1.02433,0.674,0.75382,0.77169,0.59273,0.83355,1.04574,0.94904,0.000627048,0.000627048,0.000627048
24,459.98,0.9874,1.18445,1.00546,0.66458,0.7332,0.7645,0.58888,0.83017,0.97597,0.94241,0.000605051,0.000605051,0.000605051
25,482.17,0.99097,1.18386,1.0165,0.64731,0.74589,0.76428,0.58761,0.8294,1.0281,0.93957,0.000583053,0.000583053,0.000583053
26,502.657,1.0202,1.16806,1.01918,0.69459,0.76249,0.78625,0.60488,0.81021,0.94874,0.93398,0.000561055,0.000561055,0.000561055
27,517.054,1.01339,1.15845,1.01532,0.71337,0.75939,0.79713,0.61802,0.8051,0.95823,0.93498,0.000539057,0.000539057,0.000539057
28,530.933,0.98392,1.13893,1.00531,0.68897,0.79635,0.79764,0.61726,0.80401,0.94675,0.9318,0.000517059,0.000517059,0.000517059
29,553.553,0.97296,1.13115,1.01054,0.68198,0.76576,0.78541,0.61709,0.78441,0.92283,0.92396,0.000495062,0.000495062,0.000495062
30,576.133,0.94542,1.10278,0.99358,0.71613,0.7849,0.81821,0.64248,0.78648,0.8939,0.92517,0.000473064,0.000473064,0.000473064
31,597.538,0.95966,1.07311,1.00316,0.70702,0.78211,0.81825,0.64318,0.78176,0.88127,0.92472,0.000451066,0.000451066,0.000451066
32,619.421,0.96101,1.04473,0.99989,0.72982,0.77812,0.82879,0.64741,0.78949,0.84227,0.92596,0.000429068,0.000429068,0.000429068
33,641.164,0.96624,1.0328,0.99625,0.72764,0.79446,0.83486,0.65091,0.79074,0.84119,0.92614,0.00040707,0.00040707,0.00040707
34,662.879,0.93463,1.04736,0.99787,0.73368,0.79657,0.83541,0.65476,0.7736,0.83864,0.92063,0.000385073,0.000385073,0.000385073
35,684.558,0.92408,1.00792,0.98947,0.75266,0.79065,0.83863,0.66017,0.76683,0.84022,0.91589,0.000363075,0.000363075,0.000363075
36,698.536,0.95327,1.00711,0.98727,0.74525,0.79496,0.84735,0.66461,0.76734,0.80253,0.91903,0.000341077,0.000341077,0.000341077
37,712.186,0.92346,0.9869,0.99404,0.72898,0.8003,0.84674,0.66832,0.75641,0.8195,0.91102,0.000319079,0.000319079,0.000319079
38,725.228,0.91814,0.96721,0.97685,0.76432,0.79255,0.85413,0.67548,0.75782,0.78951,0.91458,0.000297081,0.000297081,0.000297081
39,738.642,0.93025,0.98953,0.97902,0.73497,0.82036,0.86028,0.68036,0.75086,0.80927,0.91071,0.000275084,0.000275084,0.000275084
40,755.444,0.89904,0.93392,0.97336,0.79032,0.79354,0.85588,0.68133,0.74397,0.76485,0.908,0.000253086,0.000253086,0.000253086
41,794.529,0.87201,0.95633,0.96604,0.7393,0.81719,0.84693,0.6731,0.75038,0.80931,0.90888,0.000231088,0.000231088,0.000231088
42,816.424,0.85039,0.89015,0.95386,0.75623,0.82699,0.86314,0.69016,0.73694,0.78681,0.90358,0.00020909,0.00020909,0.00020909
43,837.523,0.85319,0.89499,0.95252,0.77716,0.80789,0.86693,0.69133,0.73758,0.76332,0.90487,0.000187092,0.000187092,0.000187092
44,859.108,0.84895,0.88055,0.94969,0.76768,0.83269,0.87397,0.69906,0.73031,0.7441,0.90139,0.000165095,0.000165095,0.000165095
45,875.095,0.83872,0.83156,0.94303,0.78521,0.82769,0.87564,0.69689,0.72354,0.72677,0.8985,0.000143097,0.000143097,0.000143097
46,888.388,0.83393,0.8332,0.93834,0.80398,0.82395,0.88421,0.70996,0.71376,0.70498,0.8962,0.000121099,0.000121099,0.000121099
47,900.935,0.82483,0.82684,0.93932,0.81351,0.82944,0.88716,0.71205,0.71427,0.70768,0.89543,9.91012e-05,9.91012e-05,9.91012e-05
48,913.833,0.82606,0.81159,0.93696,0.8077,0.84507,0.89187,0.72321,0.70942,0.68379,0.89488,7.71034e-05,7.71034e-05,7.71034e-05
49,926.305,0.80737,0.80095,0.93401,0.79286,0.85195,0.89291,0.72269,0.71019,0.69055,0.89491,5.51056e-05,5.51056e-05,5.51056e-05
50,938.766,0.83408,0.81195,0.94547,0.80181,0.85349,0.89415,0.72361,0.70338,0.67709,0.89376,3.31078e-05,3.31078e-05,3.31078e-05
