epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6518,1.43616,3.47646,1.26321,0.36723,0.1799,0.23004,0.15373,1.17078,3.07483,1.06186,0.000367141,0.000367141,0.000367141
2,31.9853,1.2979,2.39174,1.15684,0.41752,0.5394,0.45541,0.30636,1.10602,2.06497,1.05985,0.000730173,0.000730173,0.000730173
3,44.036,1.27185,2.13692,1.14144,0.42792,0.56429,0.47939,0.33035,1.08862,1.98987,1.04676,0.00108587,0.00108587,0.00108587
4,55.986,1.25015,2.04121,1.14308,0.45218,0.63732,0.54097,0.37688,1.04713,1.78812,1.05362,0.001078,0.001078,0.001078
5,67.5318,1.1986,1.8702,1.12429,0.49131,0.5713,0.5203,0.36574,1.03206,1.86722,1.03565,0.001067,0.001067,0.001067
6,79.0425,1.22767,1.82894,1.12885,0.52267,0.61695,0.56774,0.38988,1.04419,1.62647,1.0333,0.00105601,0.00105601,0.00105601
7,91.0332,1.19064,1.71404,1.10556,0.54566,0.63539,0.59675,0.41899,1.02112,1.60797,1.02366,0.00104501,0.00104501,0.00104501
8,103.157,1.18869,1.64929,1.10592,0.59956,0.57724,0.59455,0.40979,1.02958,1.63835,1.03492,0.00103401,0.00103401,0.00103401
9,114.683,1.13835,1.56498,1.0901,0.57604,0.66639,0.64115,0.45509,0.96659,1.40861,1.01556,0.00102301,0.00102301,0.00102301
10,126.239,1.1628,1.57897,1.09761,0.5578,0.70026,0.65277,0.46728,0.96198,1.35462,0.99491,0.00101201,0.00101201,0.00101201
11,137.856,1.10915,1.51492,1.07232,0.56544,0.68767,0.63974,0.4668,0.9408,1.38792,0.99165,0.00100101,0.00100101,0.00100101
12,149.482,1.10899,1.47748,1.0737,0.55566,0.70311,0.64895,0.46611,0.9587,1.33567,1.00836,0.000990012,0.000990012,0.000990012
13,161.016,1.11873,1.41951,1.07711,0.56912,0.7242,0.67107,0.48908,0.92216,1.37928,0.98599,0.000979013,0.000979013,0.000979013
14,172.634,1.12366,1.45452,1.06486,0.62724,0.65785,0.67869,0.48823,0.94213,1.24897,0.9901,0.000968014,0.000968014,0.000968014
15,184.3,1.09444,1.38684,1.05955,0.60612,0.7222,0.70496,0.52439,0.89938,1.29493,0.97661,0.000957015,0.000957015,0.000957015
16,195.926,1.10699,1.37861,1.06151,0.60046,0.73385,0.69479,0.52134,0.89745,1.20042,0.9723,0.000946016,0.000946016,0.000946016
17,207.456,1.06834,1.34996,1.04534,0.63207,0.72096,0.72493,0.54563,0.8854,1.2217,0.96541,0.000935018,0.000935018,0.000935018
18,219.015,1.04727,1.34386,1.04125,0.60436,0.71845,0.69935,0.52464,0.89167,1.18199,0.9668,0.000924019,0.000924019,0.000924019
19,230.801,1.07378,1.30985,1.03601,0.6273,0.7415,0.726,0.54536,0.86742,1.09745,0.96191,0.00091302,0.00091302,0.00091302
20,242.505,1.06227,1.30618,1.05196,0.63446,0.73323,0.72419,0.54451,0.86478,1.07979,0.95944,0.000902021,0.000902021,0.000902021
21,254.195,1.02594,1.29,1.02828,0.60084,0.72135,0.71189,0.53496,0.87459,1.20637,0.96387,0.000891022,0.000891022,0.000891022
22,269.033,1.07265,1.29133,1.0523,0.62611,0.74844,0.7391,0.55977,0.84781,1.05884,0.95421,0.000880023,0.000880023,0.000880023
23,285.152,1.02383,1.23319,1.03451,0.665,0.733,0.7595,0.5785,0.84614,1.05096,0.95717,0.000869024,0.000869024,0.000869024
24,299.561,1.00914,1.21126,1.01709,0.65865,0.75839,0.75495,0.56737,0.86234,1.01265,0.95713,0.000858025,0.000858025,0.000858025
25,312.689,1.01327,1.21771,1.0238,0.63556,0.72993,0.73989,0.55736,0.87493,1.09805,0.95903,0.000847026,0.000847026,0.000847026
26,326.03,1.05139,1.2154,1.03281,0.71047,0.70692,0.75835,0.58346,0.81861,0.99072,0.94024,0.000836027,0.000836027,0.000836027
27,338.988,1.04075,1.20881,1.02906,0.63285,0.78173,0.76737,0.58389,0.83574,1.04183,0.9495,0.000825029,0.000825029,0.000825029
28,352.096,1.01423,1.16964,1.02011,0.68386,0.74404,0.7754,0.59757,0.81937,0.97644,0.94043,0.00081403,0.00081403,0.00081403
29,368.865,0.99939,1.16568,1.02471,0.65645,0.77967,0.76871,0.58722,0.82158,0.97931,0.94347,0.000803031,0.000803031,0.000803031
30,391.021,0.97229,1.17282,1.00748,0.69653,0.73349,0.77482,0.59926,0.80803,0.99206,0.93372,0.000792032,0.000792032,0.000792032
31,409.818,0.99354,1.15564,1.01809,0.69064,0.77686,0.79641,0.61466,0.81479,0.9421,0.93422,0.000781033,0.000781033,0.000781033
32,427.167,1.00063,1.10984,1.01922,0.69437,0.77183,0.79377,0.60013,0.85301,0.92857,0.94844,0.000770034,0.000770034,0.000770034
33,443.994,1.00009,1.09419,1.01074,0.68541,0.78877,0.80028,0.61156,0.82208,0.92231,0.94151,0.000759035,0.000759035,0.000759035
34,455.532,0.97134,1.11385,1.01502,0.67488,0.78148,0.80019,0.60965,0.82155,0.94916,0.93929,0.000748036,0.000748036,0.000748036
35,467.497,0.96748,1.07242,1.00751,0.72141,0.75089,0.79999,0.62015,0.80196,0.93169,0.93201,0.000737037,0.000737037,0.000737037
36,478.867,0.98886,1.09697,1.00256,0.72008,0.76962,0.80467,0.62642,0.7847,0.94909,0.92798,0.000726038,0.000726038,0.000726038
37,490.416,0.95988,1.06931,1.00936,0.71333,0.78173,0.80633,0.62582,0.79519,0.88913,0.92709,0.00071504,0.00071504,0.00071504
38,501.985,0.95848,1.05381,0.99594,0.66399,0.79671,0.81218,0.62801,0.79609,0.93071,0.93184,0.000704041,0.000704041,0.000704041
39,513.72,0.97437,1.06178,0.99752,0.70949,0.78489,0.81526,0.63536,0.79609,0.91396,0.92806,0.000693042,0.000693042,0.000693042
40,525.165,0.94954,0.99293,0.99478,0.72852,0.77949,0.8266,0.64367,0.78413,0.84179,0.92861,0.000682043,0.000682043,0.000682043
41,536.575,0.97389,1.01879,1.00362,0.724,0.80276,0.83639,0.65595,0.765,0.84639,0.91997,0.000671044,0.000671044,0.000671044
42,547.875,0.92966,1.01096,0.98995,0.73372,0.77573,0.82169,0.63644,0.77958,0.85607,0.92087,0.000660045,0.000660045,0.000660045
43,559.259,0.95034,1.04266,0.99624,0.70683,0.79631,0.82271,0.64412,0.78236,0.85546,0.92202,0.000649046,0.000649046,0.000649046
44,570.872,0.96064,1.02456,0.99187,0.74076,0.78316,0.83731,0.65031,0.76826,0.82416,0.91829,0.000638047,0.000638047,0.000638047
45,582.862,0.9612,0.9823,0.99033,0.72022,0.79739,0.83755,0.66354,0.76719,0.84232,0.91677,0.000627048,0.000627048,0.000627048
46,594.463,0.95757,0.98947,0.99019,0.75728,0.77916,0.84486,0.66468,0.77428,0.81224,0.91834,0.000616049,0.000616049,0.000616049
47,605.879,0.94004,1.00597,0.98595,0.7609,0.79607,0.84623,0.669,0.75599,0.80283,0.91134,0.000605051,0.000605051,0.000605051
48,617.357,0.95344,0.97008,0.98748,0.73476,0.81167,0.84958,0.66322,0.78195,0.77985,0.91726,0.000594052,0.000594052,0.000594052
49,628.792,0.93605,0.96407,0.98782,0.73526,0.81342,0.84853,0.67485,0.75099,0.78745,0.91087,0.000583053,0.000583053,0.000583053
50,640.142,0.92946,0.94537,0.98159,0.72404,0.80096,0.8531,0.67323,0.76333,0.81099,0.91697,0.000572054,0.000572054,0.000572054
51,651.773,0.95288,0.94107,0.99502,0.75007,0.81958,0.85911,0.68262,0.74618,0.77665,0.90711,0.000561055,0.000561055,0.000561055
52,663.276,0.89875,0.93009,0.97526,0.7568,0.80515,0.86205,0.68312,0.7448,0.76564,0.90805,0.000550056,0.000550056,0.000550056
53,674.695,0.91584,0.93928,0.9725,0.73244,0.82327,0.85849,0.6834,0.75018,0.79558,0.90938,0.000539057,0.000539057,0.000539057
54,686.164,0.91544,0.9198,0.97944,0.76805,0.82587,0.87076,0.69593,0.72435,0.74956,0.90047,0.000528058,0.000528058,0.000528058
55,697.689,0.87612,0.89048,0.9644,0.76854,0.83621,0.87234,0.70058,0.73274,0.79838,0.90004,0.000517059,0.000517059,0.000517059
56,708.941,0.91165,0.92201,0.97185,0.7575,0.85291,0.87214,0.69707,0.73241,0.72742,0.90548,0.00050606,0.00050606,0.00050606
57,720.436,0.90923,0.89952,0.97758,0.75568,0.82826,0.87587,0.70496,0.72753,0.72842,0.90129,0.000495062,0.000495062,0.000495062
58,731.861,0.91238,0.89225,0.97821,0.76398,0.82404,0.87679,0.70342,0.73438,0.7485,0.90577,0.000484063,0.000484063,0.000484063
59,743.372,0.90776,0.88373,0.97594,0.79608,0.81317,0.88166,0.70654,0.73347,0.71177,0.90132,0.000473064,0.000473064,0.000473064
60,754.781,0.89437,0.87232,0.97241,0.75169,0.83394,0.88448,0.70567,0.73114,0.74223,0.89844,0.000462065,0.000462065,0.000462065
61,766.166,0.88855,0.86774,0.95923,0.7784,0.8398,0.88196,0.70619,0.72889,0.73745,0.90116,0.000451066,0.000451066,0.000451066
62,777.608,0.88663,0.84802,0.97044,0.76232,0.83144,0.88436,0.71475,0.7178,0.72553,0.89447,0.000440067,0.000440067,0.000440067
63,789.174,0.89228,0.87881,0.96253,0.80907,0.82963,0.89513,0.71999,0.70859,0.68806,0.89213,0.000429068,0.000429068,0.000429068
64,800.716,0.87843,0.8322,0.96762,0.79591,0.85998,0.89274,0.71832,0.71367,0.68841,0.89391,0.000418069,0.000418069,0.000418069
65,812.227,0.88495,0.86131,0.96187,0.81062,0.84701,0.90238,0.72984,0.70386,0.67884,0.88836,0.00040707,0.00040707,0.00040707
66,823.741,0.8816,0.8269,0.95876,0.79837,0.85038,0.90063,0.73078,0.70464,0.67714,0.89067,0.000396071,0.000396071,0.000396071
67,835.174,0.88218,0.82512,0.96445,0.8071,0.85447,0.90579,0.73069,0.70845,0.66186,0.89043,0.000385073,0.000385073,0.000385073
68,846.505,0.87474,0.80877,0.95272,0.80959,0.85537,0.9103,0.73497,0.70005,0.66778,0.88839,0.000374074,0.000374074,0.000374074
69,857.897,0.88113,0.82466,0.96094,0.84782,0.83626,0.91068,0.74017,0.69232,0.64725,0.88479,0.000363075,0.000363075,0.000363075
70,869.475,0.88586,0.82586,0.9561,0.81306,0.86255,0.91225,0.73971,0.69302,0.65963,0.88417,0.000352076,0.000352076,0.000352076
71,881.408,0.86474,0.79874,0.95597,0.8501,0.83781,0.91539,0.74678,0.69195,0.64375,0.88427,0.000341077,0.000341077,0.000341077
72,893.135,0.87445,0.80757,0.95363,0.8265,0.85801,0.91684,0.75022,0.69225,0.62003,0.88365,0.000330078,0.000330078,0.000330078
73,904.835,0.85149,0.78428,0.95162,0.80593,0.85859,0.91516,0.74702,0.67934,0.63831,0.87863,0.000319079,0.000319079,0.000319079
